membership:3_PacBio_aggregated_set_id	3_PacBio_aggregated
BCM_Fam_BH14803	BCM_m84059_250317_021520_s3_A11...PacBio
BCM_Fam_BH14803	BCM_m84059_250317_041724_s4_A11...PacBio
BCM_Fam_BH17189	BCM_m84059_250321_221552_s1_A11...PacBio
BCM_Fam_BH17189	BCM_m84059_250322_002358_s2_A11...PacBio
BCM_Fam_BH17189	BCM_m84059_250322_022604_s3_A11...PacBio
BCM_Fam_BH17189	BCM_m84059_250322_042809_s4_A11...PacBio
BCM_Fam_BH17189	BCM_m84059_250323_081857_s1_A11...PacBio
BCM_Fam_BH16470	BCM_m84059_250323_102103_s2_A11...PacBio
BCM_Fam_BH16470	BCM_m84059_250323_122302_s3_A11...PacBio
BCM_Fam_BH16470	BCM_m84059_250323_142503_s4_A11...PacBio
BCM_Fam_BH14803	BCM_m84059_250324_190420_s1_A11...PacBio
BCM_Fam_BH15164	BCM_m84059_250324_210545_s2_A11...PacBio
BCM_Fam_BH16320	BCM_m84059_250324_230751_s3_A11...PacBio
BCM_Fam_BH16320	BCM_m84059_250325_010955_s4_A11...PacBio
BCM_Fam_BH16320	BCM_m84059_250327_215800_s3_A11...PacBio
BCM_Fam_BH14471	BCM_m84059_250331_195201_s1_A11...PacBio
BCM_Fam_BH14471	BCM_m84059_250331_215312_s2_A11...PacBio
BCM_Fam_BH14471	BCM_m84059_250331_235517_s3_A11...PacBio
BCM_Fam_BH14553	BCM_m84059_250401_015718_s4_A11...PacBio
BCM_Fam_BH14553	BCM_m84059_250402_054807_s1_A11...PacBio
BCM_Fam_BH14553	BCM_m84059_250402_075014_s2_A11...PacBio
BCM_Fam_BH15931	BCM_m84059_250402_095211_s3_A11...PacBio
BCM_Fam_BH15931	BCM_m84059_250402_115417_s4_A11...PacBio
BCM_Fam_BH15931	BCM_m84059_250406_014000_s1_A11...PacBio
BCM_Fam_BH17202	BCM_m84059_250406_034123_s2_A11...PacBio
BCM_Fam_BH17202	BCM_m84059_250406_054326_s3_A11...PacBio
BCM_Fam_BH17202	BCM_m84059_250406_074532_s4_A11...PacBio
BCM_Fam_BH17200	BCM_m84059_250407_181705_s1_A11...PacBio
BCM_Fam_BH17200	BCM_m84059_250407_201833_s2_A11...PacBio
BCM_Fam_BH17200	BCM_m84059_250407_222040_s3_A11...PacBio
BCM_Fam_BH17200	BCM_m84059_250408_002246_s4_A11...PacBio
BCM_Fam_BCM17827	BCM_m84059_250409_061537_s2_A11...PacBio
BCM_Fam_BCM17827	BCM_m84059_250409_081740_s3_A11...PacBio
BCM_Fam_BCM17832	BCM_m84059_250410_161204_s2_A11...PacBio
BCM_Fam_BCM17832	BCM_m84059_250410_201607_s4_A11...PacBio
BCM_Fam_BH14554	BCM_m84059_250412_020836_s2_A11...PacBio
BCM_Fam_BH14554	BCM_m84059_250412_041040_s3_A11...PacBio
BCM_Fam_BH14554	BCM_m84059_250412_061241_s4_A11...PacBio
BCM_Fam_BH14554	BCM_m84059_250413_100249_s1_A11...PacBio
BCM_Fam_BH17201	BCM_m84059_250413_120459_s2_A11...PacBio
